engine,scenario,minute,thermal_load_input,degradation_input,thermal_load_high,primary_cooling_degraded,backup_reserve_stressed,power_constraint,process_thermal_risk,alarm_interpreted,authorization_ready,intervention_executed,physical_risk_probability_exact,decision_response_probability_exact,uncontained_risk_probability_exact,contained_or_avoided_probability_exact,measurement_shots,physical_risk_probability_sampled,decision_response_probability_sampled,uncontained_risk_probability_sampled,contained_or_avoided_probability_sampled,trace
Qiskit DensityMatrix,Sensor-only,20,1.0,0.25,0.05563504950227426,0.017337648096035187,0.015999026243939306,0.01086427440025445,0.00795785924867933,0.004999999999999999,0.0020000000000000018,0.0009999999999999998,0.00795785924867933,0.0009999999999999998,0.007949901389430646,0.0009920421407513206,8192,0.009033203125,0.0008544921875,0.009033203125,0.0008544921875,1.0000000000000002
Qiskit DensityMatrix,Sensor-only,21,1.0,0.3,0.06259734043485332,0.018311402850546433,0.016637217602931933,0.01093696519883603,0.00822179107316517,0.0049999999999999975,0.0020000000000000013,0.001000000000000001,0.00822179107316517,0.001000000000000001,0.008213569282092006,0.0009917782089268346,8192,0.008056640625,0.0015869140625,0.008056640625,0.0015869140625,1.0000000000000002
Qiskit DensityMatrix,Sensor-only,22,1.0,0.35,0.0699374390524958,0.019477471434873606,0.01734123451867323,0.011013754361331955,0.008499769272737668,0.0049999999999999975,0.0020000000000000005,0.0009999999999999996,0.008499769272737668,0.0009999999999999996,0.00849126950346493,0.0009915002307272621,8192,0.008544921875,0.0006103515625,0.008544921875,0.0006103515625,1.0000000000000002
Qiskit DensityMatrix,Sensor-only,23,1.0,0.4,0.07764764552252326,0.020850445353712548,0.0181167387532253,0.011094921325927163,0.008792459987005776,0.004999999999999999,0.001999999999999999,0.0009999999999999996,0.008792459987005776,0.0009999999999999996,0.008783667527018769,0.0009912075400129942,8192,0.0096435546875,0.0013427734375,0.0096435546875,0.0013427734375,1.0
Qiskit DensityMatrix,Sensor-only,24,1.0,0.45,0.08571987425965277,0.022447097906613304,0.018969665130300097,0.01118077062103321,0.00910059914637643,0.005,0.0020000000000000035,0.001,0.00910059914637643,0.001,0.00909149854723006,0.0009908994008536241,8192,0.010009765625,0.0013427734375,0.010009765625,0.0013427734375,1.0000000000000002
Qiskit DensityMatrix,Sensor-only,25,1.0,0.5,0.09414566277785996,0.024286336178409626,0.019906229121159028,0.01127163300152169,0.009424997352075314,0.0052791571425896255,0.002000000000000002,0.0010000000000000002,0.009424997352075314,0.0010000000000000002,0.009415572354723243,0.0009905750026479255,8192,0.00830078125,0.00048828125,0.00830078125,0.00048828125,1.0
Qiskit DensityMatrix,Sensor-only,26,1.0,0.55,0.10291618095069023,0.026388058953310436,0.020932527610407037,0.011367843560475469,0.009766541913070054,0.0056922009450441485,0.002000000000000001,0.001,0.009766541913070054,0.001,0.009756775371156986,0.0009902334580869302,8192,0.00927734375,0.0015869140625,0.00927734375,0.0015869140625,1.0000000000000004
Qiskit DensityMatrix,Sensor-only,27,1.0,0.6,0.11202224872294027,0.028772716954886493,0.022054406003708928,0.011469736447092345,0.010126197313555345,0.006251158907831376,0.002000000000000001,0.0009999999999999992,0.010126197313555345,0.0009999999999999992,0.010116071116241798,0.000989873802686445,8192,0.00927734375,0.000732421875,0.00927734375,0.000732421875,1.0000000000000007
Qiskit DensityMatrix,Sensor-only,28,1.0,0.65,0.12145435453277721,0.03146211630409239,0.02327776982032499,0.011577663310448506,0.010505007337127968,0.006968563700978944,0.002000000000000002,0.0009999999999999998,0.010505007337127968,0.0009999999999999998,0.010494502329790836,0.0009894949926628719,8192,0.010498046875,0.000732421875,0.010498046875,0.000732421875,1.0000000000000002
Qiskit DensityMatrix,Sensor-only,29,1.0,0.7,0.13120266644849837,0.03447933099717513,0.024608563037372466,0.011691992065128602,0.010904096693132638,0.007857390608169671,0.001999999999999999,0.0010000000000000005,0.010904096693132638,0.0010000000000000005,0.010893192596439498,0.0009890959033068685,8192,0.0107421875,0.0009765625,0.0107421875,0.0009765625,1.0000000000000002
