engine,scenario,minute,thermal_load_input,degradation_input,thermal_load_high,primary_cooling_degraded,backup_reserve_stressed,power_constraint,process_thermal_risk,alarm_interpreted,authorization_ready,intervention_executed,physical_risk_probability,decision_response_probability,uncontained_risk_probability,contained_or_avoided_probability,trace
NumPy density matrix,Sensor-only,52,1.0,1.0,0.4162868332979787,0.18045090303831987,0.09400725101862427,0.01699262564759198,0.02921851896136867,0.09629581487424156,0.001999999999999999,0.000999999999999998,0.02921851896136867,0.000999999999999998,0.029189300442407296,0.0009707814810386305,0.9999999999999991
NumPy density matrix,Sensor-only,53,1.0,1.0,0.43006296597632426,0.18842406539267784,0.09876948096898244,0.017372929224685696,0.030579542450555094,0.1029605415541082,0.001999999999999997,0.000999999999999998,0.030579542450555094,0.000999999999999998,0.030548962908104542,0.0009694204575494436,0.999999999999999
NumPy density matrix,Sensor-only,54,1.0,1.0,0.44384302802946873,0.19643883527826894,0.10365454973593373,0.01776780797852884,0.03199991894471641,0.10975762896794011,0.0019999999999999987,0.000999999999999999,0.03199991894471641,0.000999999999999999,0.03196791902577167,0.0009680000810552827,0.999999999999999
NumPy density matrix,Sensor-only,55,1.0,1.0,0.45761349489391606,0.20448564285887577,0.1086567660846809,0.018177460891478925,0.033480591028757764,0.1166674581999587,0.0019999999999999983,0.0009999999999999985,0.033480591028757764,0.0009999999999999985,0.033447110437729,0.0009665194089712405,0.9999999999999987
NumPy density matrix,Sensor-only,56,1.0,1.0,0.47136089037657475,0.21255504138082576,0.11377006616487939,0.01860209282196306,0.035022377895284756,0.12367022430084831,0.001999999999999998,0.0009999999999999985,0.035022377895284756,0.0009999999999999985,0.03498735551738947,0.0009649776221047147,0.9999999999999989
NumPy density matrix,Sensor-only,57,1.0,1.0,0.4850718004803306,0.22063771691878387,0.11898804174693425,0.019041917869529384,0.03662597120068492,0.13074612322821183,0.0020000000000000005,0.000999999999999999,0.03662597120068492,0.000999999999999999,0.03658934522948423,0.000963374028799314,0.9999999999999983
NumPy density matrix,Sensor-only,58,1.0,1.0,0.4987328870808807,0.22872449743731058,0.12430397086961034,0.019497162650814595,0.03829193200045279,0.13787552709356554,0.0019999999999999983,0.0009999999999999998,0.03829193200045279,0.0009999999999999998,0.03825364006845232,0.0009617080679995463,0.9999999999999984
NumPy density matrix,Sensor-only,59,1.0,1.0,0.5123309014399532,0.23680636118897916,0.12971085073078117,0.019968069408704676,0.04002068880756948,0.14503914499517143,0.001999999999999997,0.0009999999999999985,0.04002068880756948,0.0009999999999999985,0.03998066811876193,0.0009599793111924297,0.9999999999999983
NumPy density matrix,Sensor-only,60,1.0,1.0,0.5258526975403989,0.2448744444718513,0.13520143262791945,0.020454898877430478,0.04181253680513741,0.1522181672387566,0.0019999999999999987,0.0009999999999999998,0.04181253680513741,0.0009999999999999998,0.04177072426833227,0.0009581874631948607,0.9999999999999981
NumPy density matrix,Sensor-only,61,1.0,1.0,0.5392852452289905,0.25292004877093804,0.14076825873022217,0.02095793282835517,0.0436676382312136,0.15939439132097824,0.001999999999999998,0.0009999999999999985,0.0436676382312136,0.0009999999999999985,0.043623970592982377,0.0009563323617687848,0.9999999999999983
NumPy density matrix,Sensor-only,62,1.0,1.0,0.5526156431531567,0.2609346473098813,0.1464037004403756,0.021477476224791542,0.045586023940054,0.16655032865330696,0.001999999999999997,0.0009999999999999992,0.045586023940054,0.0009999999999999992,0.045540437916113966,0.0009544139760599443,0.9999999999999983
NumPy density matrix,Sensor-only,63,1.0,1.0,0.5658311314782991,0.2689098910405449,0.15209999808128227,0.02201385891931618,0.047567596129965334,0.17366929161579994,0.001999999999999997,0.0009999999999999987,0.047567596129965334,0.0009999999999999987,0.04752002853383538,0.0009524324038700331,0.9999999999999983
NumPy density matrix,Sensor-only,64,1.0,1.0,0.5789191043727064,0.27683761409940993,0.1578493016218613,0.022567436833677998,0.04961213221385845,0.18073546112966862,0.0019999999999999966,0.000999999999999998,0.04961213221385845,0.000999999999999998,0.049562520081644586,0.0009503878677861395,0.999999999999998
NumPy density matrix,Sensor-only,65,1.0,1.0,0.5918671222475663,0.2847098387607124,0.1636437121367289,0.02313859256944545,0.05171928979461142,0.18773393550390388,0.0019999999999999974,0.0009999999999999983,0.05171928979461142,0.0009999999999999983,0.0516675705048168,0.0009482807102053865,0.999999999999998
NumPy density matrix,Sensor-only,66,1.0,1.0,0.6046629237399544,0.2925187799170395,0.16947532367744533,0.023727735406893186,0.05388861269368062,0.19465076182513047,0.0019999999999999966,0.0009999999999999983,0.05388861269368062,0.0009999999999999983,0.053834724080986954,0.0009461113873063171,0.9999999999999978
NumPy density matrix,Sensor-only,67,1.0,1.0,0.6172944374272138,0.30025684911869116,0.17533626521843323,0.024335300660144523,0.05611953796825083,0.20147295160410286,0.001999999999999997,0.0009999999999999996,0.05611953796825083,0.0009999999999999996,0.05606341843028257,0.0009438804620317473,0.9999999999999977
NumPy density matrix,Sensor-only,68,1.0,1.0,0.6297497932615225,0.3079166582034297,0.1812187423289915,0.024961748368097735,0.05841140383978393,0.20818848275243734,0.001999999999999997,0.0009999999999999974,0.05841140383978393,0.0009999999999999974,0.05835299243594416,0.0009415885961602139,0.9999999999999977
NumPy density matrix,Sensor-only,69,1.0,1.0,0.6420173337139929,0.31549102254833955,0.18711507821429668,0.02560756131296693,0.06076345844529908,0.21478629022828113,0.0019999999999999957,0.000999999999999997,0.06076345844529908,0.000999999999999997,0.06070269498685377,0.0009392365415546988,0.9999999999999974
NumPy density matrix,Sensor-only,70,1.0,1.0,0.654085624618118,0.3229729639752933,0.19301775376323055,0.026273242371149905,0.06317486931226729,0.22125624785246137,0.0019999999999999953,0.0009999999999999992,0.06317486931226729,0.0009999999999999992,0.06311169444295502,0.0009368251306877307,0.9999999999999974
NumPy density matrix,Sensor-only,71,1.0,1.0,0.6659434657028666,0.33035571334110747,0.19891944623954866,0.026959311214351446,0.06564473344879203,0.2275891438541746,0.001999999999999995,0.0009999999999999974,0.06564473344879203,0.0009999999999999974,0.06557908871534325,0.0009343552665512059,0.9999999999999973
NumPy density matrix,Sensor-only,72,1.0,1.0,0.6775799008062908,0.33763271284266483,0.20481306625549545,0.02766630039219435,0.06817208793291284,0.23377665265854974,0.001999999999999994,0.0009999999999999983,0.06817208793291284,0.0009999999999999983,0.0681039158449799,0.0009318279120670845,0.9999999999999972
NumPy density matrix,Sensor-only,73,1.0,1.0,0.6889842277609809,0.34479761806628206,0.21069179267370725,0.028394750840677236,0.07075592087852986,0.23981130528276556,0.001999999999999996,0.000999999999999996,0.07075592087852986,0.000999999999999996,0.07068516495765131,0.0009292440791214677,0.9999999999999971
NumPy density matrix,Sensor-only,74,1.0,1.0,0.7001460079432933,0.3518442998092054,0.2165491050942149,0.029145206873523948,0.07339518265070119,0.24568646047193782,0.001999999999999996,0.000999999999999997,0.07339518265070119,0.000999999999999997,0.07332178746805049,0.0009266048173492964,0.9999999999999969
NumPy density matrix,Sensor-only,75,1.0,1.0,0.7110550754787799,0.3587668456995031,0.2223788135986614,0.029918210725450065,0.07608879719997677,0.25139627839338974,0.002222437810695361,0.0009999999999999979,0.07608879719997677,0.0009999999999999979,0.07601270840277677,0.0009239112028000205,0.9999999999999969
NumPy density matrix,Sensor-only,76,1.0,1.0,0.7217015460968237,0.3655595616386373,0.22817508544351392,0.030714296727389238,0.07883567338405222,0.2569354618794247,0.002490644439222758,0.0009999999999999979,0.07883567338405222,0.0009999999999999979,0.07875683771066819,0.0009211643266159448,0.9999999999999969
NumPy density matrix,Sensor-only,77,1.0,1.0,0.7320758256280451,0.3722169839028054,0.23393247813882412,0.03153398563819037,0.08163471627176756,0.2622991941875736,0.002805479039202877,0.0009999999999999968,0.08163471627176756,0.0009999999999999968,0.08155308155549577,0.0009183652837282299,0.9999999999999969
NumPy density matrix,Sensor-only,78,1.0,1.0,0.7421686180852239,0.3787338905875454,0.23964596946986794,0.032377778800039614,0.0844848383183484,0.2674833537119045,0.0031675787565173075,0.000999999999999997,0.0844848383183484,0.000999999999999997,0.08440035348003005,0.0009155151616816487,0.9999999999999967
NumPy density matrix,Sensor-only,79,1.0,1.0,0.7519709333283694,0.3851053017932092,0.2453109742320534,0.03324615178842706,0.08738497016947744,0.2724845102848467,0.003577355726959093,0.0009999999999999972,0.08738497016947744,0.0009999999999999972,0.08729758519930796,0.0009126150298305194,0.9999999999999966
NumPy density matrix,Sensor-only,80,1.0,1.0,0.7614740943657667,0.39132647959150785,0.250923356672436,0.03413954808235782,0.09033407096872006,0.27729992915904855,0.004034996488386654,0.000999999999999997,0.09033407096872006,0.000999999999999997,0.09024373689775128,0.0009096659290312769,0.9999999999999964
NumPy density matrix,Sensor-only,81,1.0,1.0,0.7706697442879257,0.3973929277940336,0.256479438468766,0.03505837286909283,0.09333113804899526,0.28192758213548297,0.004540463813577931,0.0009999999999999963,0.09333113804899526,0.0009999999999999963,0.09323780691094623,0.0009066688619510019,0.9999999999999962
NumPy density matrix,Sensor-only,82,1.0,1.0,0.7795498528318643,0.4033003915404862,0.2619760021236212,0.03600298709876197,0.09637521589642847,0.28636616488276184,0.005093500934952849,0.0009999999999999966,0.09637521589642847,0.0009999999999999966,0.09627884068053207,0.0009036247841035683,0.9999999999999964
NumPy density matrix,Sensor-only,83,1.0,1.0,0.7881067225735865,0.4090448567208827,0.2674102897009121,0.03697370190299595,0.09946540428394865,0.29061511912761745,0.005693638097618716,0.0009999999999999963,0.09946540428394865,0.0009999999999999963,0.09936593887966473,0.0009005345957160479,0.9999999999999962
NumPy density matrix,Sensor-only,84,1.0,1.0,0.7963329947470398,0.41462254924241837,0.27277999688438725,0.03797077348826211,0.10260086548223753,0.29467465810104615,0.006340201343510375,0.0009999999999999974,0.10260086548223753,0.0009999999999999974,0.10249826461675524,0.0008973991345177591,0.9999999999999959
NumPy density matrix,Sensor-only,85,1.0,1.0,0.8042216546883159,0.42002993414785256,0.27808326239205744,0.03899439860886981,0.10578083046695289,0.29854579340866844,0.007032323397453185,0.0009999999999999953,0.10578083046695289,0.0009999999999999953,0.10567504963648591,0.0008942191695330426,0.999999999999996
NumPy density matrix,Sensor-only,86,0.95,1.0,0.8113954258687043,0.4252637145884172,0.2833160621674181,0.040044704777941115,0.10900458683551174,0.30223038010815517,0.007768956552593058,0.0009999999999999961,0.10900458683551174,0.0009999999999999961,0.10889558224867632,0.0008909954131644845,0.9999999999999958
NumPy density matrix,Sensor-only,87,0.9,1.0,0.8178954031160096,0.4303208306503824,0.28847470792990093,0.04112174701439218,0.11227148073831349,0.3057311573894347,0.008548887373216667,0.0009999999999999963,0.11227148073831349,0.0009999999999999963,0.1121592092575752,0.0008877285192616829,0.9999999999999954
NumPy density matrix,Sensor-only,88,0.85,1.0,0.8237624880804081,0.43519845796866763,0.2935558164354577,0.042225505483629404,0.11558091731687918,0.30905178346857165,0.009370753016603554,0.000999999999999996,0.11558091731687918,0.000999999999999996,0.11546533639956236,0.0008844190826831173,0.9999999999999952
NumPy density matrix,Sensor-only,89,0.8,1.0,0.8290370458561335,0.4398940061188084,0.2985562776978546,0.043355884085778076,0.11893235966559773,0.31219686246772343,0.010233058954038594,0.0009999999999999957,0.11893235966559773,0.0009999999999999957,0.1188134273059322,0.0008810676403343979,0.9999999999999952
NumPy density matrix,Sensor-only,90,0.75,1.0,0.8337585985609861,0.4444051167768875,0.3034732225543543,0.044512710027545775,0.12232532635346284,0.3151719613116449,0.011134197853772409,0.0009999999999999957,0.12232532635346284,0.0009999999999999957,0.12220300102710936,0.0008776746736465334,0.999999999999995
NumPy density matrix,Sensor-only,91,0.7,1.0,0.8295858981408353,0.4487296616355174,0.3083039899495392,0.04569573439558204,0.12575938756051236,0.317983614993607,0.012072469375913332,0.0009999999999999966,0.12575938756051236,0.0009999999999999966,0.1256336281729518,0.0008742406124394831,0.9999999999999948
NumPy density matrix,Sensor-only,92,0.65,1.0,0.8249649076013882,0.452865740062767,0.31300581181467996,0.04690459225746438,0.12923409212351378,0.32063856947135216,0.013046099510512481,0.0009999999999999953,0.12923409212351378,0.0009999999999999953,0.12910485803139032,0.0008707659078764819,0.9999999999999949
NumPy density matrix,Sensor-only,93,0.6,1.0,0.819941644233546,0.45681167648994175,0.31757743652003684,0.04813884907202331,0.132749018387231,0.3231446530527615,0.014053261726981741,0.0009999999999999955,0.132749018387231,0.0009999999999999955,0.1326162693688437,0.0008672509816127643,0.9999999999999948
NumPy density matrix,Sensor-only,94,0.55,1.0,0.8145585216801093,0.4605660170129513,0.32201778776248663,0.04939800492549612,0.1363037658835061,0.32551075901804877,0.0150920983976729,0.0009999999999999972,0.1363037658835061,0.0009999999999999972,0.13616746211762257,0.0008636962341164895,0.9999999999999947
